m,n_dus_edges,n_skip,C,L,version_ref,n_dependencies,C_spine,L_spine,C_spine_sd,L_spine_sd,C_fwd,L_fwd,m_fwd
129,524,396,0.2533744697261859,6.906976744186046,C4m4Arpsq97LQdd,3349,0.2128808330119553,5.176356589147287,0.004904022941461422,0.5556083593678727,,,
103,806,704,0.3399420466676834,2.8640776699029127,7feu3xxICmgcdGS,3127,0.2949900869299984,2.9330097087378637,0.0024670974559763263,0.12268787255860666,0.4900376401553716,2.489225395137887,55.5
97,745,649,0.34294252065389347,3.288659793814433,ubSazX8iz00lFMq,3123,0.2864563192125154,3.1262886597938144,0.0038116944366580795,0.036576151494034585,,,
117,947,831,0.302573083658898,3.076923076923077,YhUNyE7WX9t0rtD,3907,0.23995015492388522,2.7076923076923074,0.0029451101993524503,0.13245381625853345,0.6247366746762075,1.3259625863944802,44.0
118,975,858,0.3102469135802469,3.0084745762711864,mo7EL39sHEWfzUw,3815,0.2511358024691358,2.98135593220339,0.0040271521674869045,0.10511891188702155,,,
85,638,554,0.41124604891033106,2.0588235294117645,AJm522GzPi6umx3,3757,0.38796373315588084,1.9441176470588235,0.003906657681663487,0.027307045619847394,,,
104,838,735,0.3330480673227785,3.0384615384615383,4dk66uu55LVXQBB,3228,0.2853658536585366,2.9274038461538465,0.004480152419505941,0.14463005628317158,,,
143,1279,1137,0.30537974683544306,3.5314685314685317,Qbr4V7M988bgpns,4708,0.24811313291139242,3.4083916083916086,0.0027405039310291522,0.04127651626118517,,,
131,1327,1197,0.3691449229801949,1.984732824427481,1wyIjQVGQmyhVho,7161,0.3361639421565545,1.8328244274809162,0.002020779608018302,0.03004376893764036,0.43637195788546174,1.6173105900391183,73.5
131,1322,1192,0.3825195994721726,2.099236641221374,cb0515chgK9N9pv,7195,0.3491539237755181,1.8973282442748094,0.002470061985526654,0.0475171678696431,,,
129,1388,1260,0.34189024390243905,2.4573643410852712,e3nzztRREXianmc,6342,0.30429573170731705,2.3162790697674422,0.001786957319975673,0.053178520577186035,,,
131,1322,1192,0.3825195994721726,2.099236641221374,0xk7Hz11AGVJrAv,7195,0.34689513312116743,1.8713740458015267,0.002809698134174472,0.03483752359915283,0.43154555170293313,1.6835968639397152,80.6
102,885,784,0.34858188472095153,2.323529411764706,KdDz7WJMg2hOyAW,7284,0.32444533394327535,2.2088235294117653,0.002258648244454896,0.08575489691703804,,,
123,1501,1379,0.3634725819164509,2.186991869918699,vKZkTyK5jqWqoev,6777,0.3063055962166423,2.0394308943089428,0.0020255785840189466,0.026378950541313204,,,
131,1322,1192,0.3825195994721726,2.099236641221374,Dvj7eq48wk8zEf4,7194,0.34818365287588293,1.8790076335877863,0.0019069158346644776,0.02969014271312124,,,
108,787,680,0.30646083476272157,2.9814814814814814,2i5rbbLOuo7j534,6522,0.29500428816466556,2.9333333333333336,0.0030467352109062222,0.20570565090637355,0.4268905166625367,2.559355440960344,77.6
126,1418,1293,0.2954157445463168,2.5793650793650795,4e1n2UNicvHqD5O,6039,0.2630825165981663,2.2634920634920634,0.002516349916342665,0.04090190071976226,,,
133,1422,1290,0.33558976816629726,2.4285714285714284,DLIJe554Ry0P2OT,6462,0.2970676331396394,2.3454887218045117,0.002588401598362497,0.05113196577615264,,,
66,603,538,0.44417890064868554,2.090909090909091,9yFOwO89xjqe1bl,5752,0.4222772277227723,2.121969696969697,0.002989610434545731,0.06934611955632888,,,
117,668,552,0.4568888888888889,26.196581196581196,wUhBC60fHmHZMmP,4894,0.4505866666666666,25.746153846153845,0.0030427927392974014,0.3417852431837543,,,
131,1322,1192,0.3825195994721726,2.099236641221374,HlyXnDbxKe0HSu7,7194,0.3488706046728247,1.8755725190839694,0.0026815451123407565,0.03863078146222901,,,
117,668,552,0.4568888888888889,26.196581196581196,9p7pbovlhH8qs4L,4892,0.4519288888888888,25.738034188034185,0.003347655158723545,0.3335663770062741,,,
62,861,800,0.528390522875817,2.0483870967741935,zV396MMMG4qmFF4,6476,0.5189644607843136,1.8637096774193544,0.002957213760340531,0.03514315898306606,,,
127,1257,1131,0.29828812631908075,2.47244094488189,8ogI01affxRG1bi,5846,0.2584460251700148,2.413779527559055,0.00254436920246771,0.05124012344930977,,,
125,1527,1403,0.3505273566249176,2.096,UYul9Btea14IU9R,6756,0.3001977587343441,2.0036,0.0024742171120602694,0.02730274711453046,,,
73,678,606,0.44436067551266584,1.8767123287671232,W7mK6QK2974q2LZ,6091,0.4167294933655007,1.7719178082191778,0.0030694375776878923,0.020444947337807284,,,
130,1491,1362,0.3270694028130044,2.2,zgBCmIYEi4txWgn,6592,0.2900334332487895,2.0788461538461536,0.0022855860492763855,0.03198326115459215,,,
74,752,679,0.4417665615141956,1.945945945945946,gS648ZoPf5Gag9o,6201,0.4168895899053628,1.8054054054054056,0.0032552453848976176,0.039259024449551254,,,
131,1322,1192,0.3825195994721726,2.099236641221374,6hC665Xs8dUt4cD,7195,0.34809438795311654,1.866412213740458,0.0025536822272188052,0.03751347290169652,,,
127,1498,1372,0.322891703754422,2.141732283464567,5F1IgR92sV4a8Zx,6711,0.2790511240442771,2.0555118110236217,0.0021273772471517532,0.03222339331439427,,,
73,682,610,0.44776119402985076,1.8767123287671232,85eyDfjYM3MFR7x,6121,0.41997014925373133,1.7746575342465754,0.003013521174401742,0.020988429378143252,0.5996599192168344,1.4904970886807285,50.7
77,1054,978,0.5010181763330568,2.064935064935065,LEZUX0i4VlyTRpJ,7648,0.4900181009125877,1.9538961038961038,0.0019067027004122258,0.050877773298568574,,,
131,1322,1192,0.3825195994721726,2.099236641221374,SDrnaZM125NCrMf,7195,0.34889777225801444,1.8748091603053436,0.002331788487835464,0.03382980123077915,,,
135,1624,1490,0.3781703400155056,1.9333333333333333,61zbUvdnps753xP,8786,0.3452126481337911,1.9233333333333333,0.0019882062864169645,0.03500146969283485,,,
56,860,805,0.7056868537666174,1.6785714285714286,cxMTDXmv65I0kB9,12069,0.6992152880354506,1.6919642857142854,0.001625680622639992,0.01682271757269354,,,
55,870,816,0.679631880534815,1.6545454545454545,0iKX1l9wipd7zMB,11052,0.6757032470915091,1.668181818181818,0.0014641250715945189,0.017128585164924305,,,
135,1624,1490,0.3781703400155056,1.9333333333333333,Ke82f6NOglT6U2E,8786,0.3458605604164359,1.924814814814815,0.002058768655674265,0.03921555918643171,0.496962618834815,1.6066335206703783,65.0
92,914,823,0.5343511450381679,3.4565217391304346,5SNsk9XLmGmqx2q,10274,0.5229623245506032,3.4630434782608694,0.004255566275755148,0.04366806397087106,0.7009412803849384,2.173196966357811,42.3
156,1930,1775,0.3838383838383838,2.4358974358974357,mFt9NIK1rMDc2Y0,9886,0.3513993691859304,1.8794871794871792,0.001691776686428467,0.02990231740946308,,,
54,729,676,0.6148204077230073,1.1666666666666667,QGzSFyje9H6515o,13594,0.6113256390896343,1.166666666666667,0.00107668900558454,2.220446049250313e-16,,,
159,1855,1697,0.38020698576972833,2.710691823899371,8EytYvkD2PLZYU1,9488,0.3455778352738249,1.9864779874213838,0.0017102372646137344,0.052366752894088694,,,
49,723,675,0.6919232079972737,1.6122448979591837,2dw5U1kaERb5UOz,9857,0.688265364080427,1.6173469387755102,0.0008999342188044225,0.008836993916167752,,,
135,1825,1691,0.4784726113002629,1.9259259259259258,qGHzHk7GtCa5a9O,12213,0.4391587294746369,1.625925925925926,0.0016601131490656823,0.008919699687994252,0.5530399606570675,1.3334128416670599,69.1
57,860,804,0.6951286764705882,1.719298245614035,SXLUAO7kqr1gGl6,11886,0.6893382352941176,1.6991228070175435,0.0017227020857394507,0.012741964075731574,,,
64,567,504,0.5964414158621995,6.625,69I1CmZVb8SA5fH,8486,0.5936683702441794,6.421875,0.0031607284947311625,0.19665165903190343,,,
64,864,801,0.6535064476240947,1.4375,2yxsZPA9tsBaQO7,12310,0.637413884472708,1.3765625,0.00244396413838346,0.004687500000000001,,,
58,850,793,0.6552641232575201,1.6724137931034482,oQakJMih2CAAn8J,10415,0.649605649303008,1.6689655172413793,0.0012277085407442175,0.02966319057600905,,,
64,842,779,0.6437153419593346,1.515625,0rZ64l56ZE0dQ7r,11049,0.6259195933456561,1.4546875,0.0017005231352080735,0.004687500000000001,,,
85,1304,1220,0.5285074034152153,1.4588235294117646,38bjsDfPwDtu7sn,9808,0.5157514040959891,1.461176470588235,0.0014112579388155765,0.004705882352941249,0.7073827985503401,1.181634225250257,43.9
64,870,807,0.6541966843155976,1.46875,70AsHKVZ91NeE9F,11760,0.6402656019442757,1.40859375,0.0016581602786146727,0.005579240959799101,,,
153,2005,1853,0.3643371017471737,2.176470588235294,Wnv8EX7vCH3R7IV,10063,0.3374431067390985,1.8477124183006537,0.001838497376316222,0.03222560270750599,,,
87,1323,1237,0.517155756207675,1.9425287356321839,hhrqhgeKeit629X,9653,0.5016958239277653,1.798850574712644,0.001993743286648581,0.01605085062502177,,,
192,1254,1063,0.23968545751633988,6.541666666666667,WmkwKTxUO1VPS64,9509,0.18060661764705885,6.57421875,0.0036971916295231834,0.36832114819470424,,,
57,851,795,0.6879294336118849,1.719298245614035,W7qYHGWoe93JLg2,11763,0.6816991643454038,1.7070175438596489,0.0015756980611043622,0.024246096422956616,,,
57,854,798,0.68097543154626,1.736842105263158,THG9PQF4dip8M4I,11474,0.6761165403233171,1.7543859649122804,0.0015565701963069997,0.049621528504319126,0.7132013460232498,1.5673971829746696,45.0
146,1502,1357,0.3643005676389591,2.643835616438356,S7IfS6QFYBDYffL,10557,0.2967543415950093,2.43527397260274,0.002762382293435125,0.06919079633605041,,,
63,789,727,0.6642276422764227,2.142857142857143,gwnKXcGNvOYIpIp,10111,0.6548831300813008,1.7071428571428569,0.0016939794920831006,0.06378405082647003,,,
